molecule_id,aop_oh_rate_constant,aop_oh_half_life_hours,aop_ozone_rate_constant,aop_ozone_half_life_hours
266590,5.41073e-11,2.372,1.212512e-17,22.683
184637,7.91181e-11,1.62,0,NA
186274,5.7069e-12,22.488,0,NA
512031,1.336009e-10,0.961,1.356875e-16,2.027
226887,3.893214e-10,0.324,8.6e-16,0.312
227516,1.246081e-10,1.032,0,NA
548232,1.629487e-10,0.792,5.7790623e-16,0.48
230823,8.73866e-11,1.464,1.2e-17,22.919999999999998
231411,2.535402e-10,0.504,1.75e-18,157.17600000000002
520223,2.045146e-10,0.624,0,NA
520936,1.846354e-10,0.695,5.83375e-17,4.715
521597,7.38105e-11,1.7399999999999998,1.365e-19,2014.944
524804,8.544556e-10,0.156,0,NA
525459,1.145603e-10,1.12,5.7175e-18,48.096000000000004
616465,2.014854e-10,0.636,0,NA
667269,2.00905e-11,6.384,0,NA
667988,1.012503e-10,1.272,0,NA
671205,1.519916e-10,0.844,1.61875e-17,16.991
671376,1.727247e-10,0.744,8.59375e-17,3.192
531261,1.469816e-10,0.8759999999999999,4.3e-16,0.648
672997,2.630054e-10,0.492,0,NA
673152,2.298488e-10,0.5640000000000001,1.1375e-17,24.168
673211,4.947e-10,0.264,7.56875e-17,3.6239999999999997
674506,2.348088e-10,0.552,3.42225e-16,0.792
684452,5.07661e-11,2.532,6e-20,4584
685353,1.008522e-10,1.273,8.75e-19,314.328
685625,6.5743e-11,1.956,1.75e-18,157.17600000000002
685892,6.15859e-11,2.088,8.53125e-17,3.216
686155,7.12175e-10,0.18,1.86e-15,0.14400000000000002
696857,5.86391e-11,2.184,4.8059372e-16,0.5760000000000001
698435,3.106174e-10,0.40800000000000003,1.053e-16,2.616
688054,4.008959e-10,0.324,1.0952499e-16,2.52
238021,1.975452e-10,0.65,2.2082306e-16,1.246
689847,4.026336e-10,0.324,4.056e-17,6.792
690000,6.0889e-12,21.084,0,NA
243445,1.673239e-10,0.768,1.75e-18,157.17600000000002
690875,8.25534e-11,1.56,1.1375e-17,24.168
690932,1.117555e-10,1.1520000000000001,5.265e-17,5.232
691303,5.591531e-10,0.22799999999999998,1.2960001e-16,2.112
691926,1.9084e-10,0.673,1.3009e-16,2.114
244850,5.37087e-11,2.388,0,NA
694531,8.55703e-11,1.5,1.1375e-17,24.168
694552,1.65499e-10,0.78,4.05e-17,6.792
694900,1.415693e-10,0.9119999999999999,2.7568748e-16,1.008
695037,2.993895e-10,0.43199999999999994,6.318e-16,0.43199999999999994
695124,2.666469e-10,0.48,1.2e-17,22.919999999999998
695288,2.001802e-10,0.636,8.70625e-17,3.168
695628,2.157119e-10,0.6000000000000001,3.42225e-16,0.792
695691,1.661294e-10,0.768,2.6324999e-16,1.056
695893,3.479147e-10,0.372,1.3825e-16,1.992
696099,1.01792e-11,12.611999999999998,0,NA
697686,6.715123e-10,0.192,1.29e-15,0.21599999999999997
