molecule_id,bp_est,mp_est,vp_est
84,NA,NA,NA
134,480,90.27,2.06e-11
266,695.66,304,7.53e-20
277,384.41,111.23,2.31e-7
282,583.14,237.47,1.79e-11
333,591.67,255.42,5.33e-17
341,518.53,221.25,4.26e-12
380,617.84,267.65,4.65e-18
425,975.02,349.84,8.37e-32
431,782.44,344.53,2.53e-23
435,591.67,255.42,5.33e-17
444,474.08,193.86,6.66e-12
448,782.44,344.53,2.53e-23
449,546.15,234.15,3.17e-15
466,931.42,349.84,3.3e-30
521,781.66,344.17,9.05e-23
540,NA,NA,NA
567,990.72,349.84,1.0500000000000001e-30
568,542.99,232.68,3.65e-11
592,1228.77,349.84,2.71e-41
605,699.4,305.74,2.37e-21
627,874.85,349.84,2.87e-24
633,895.08,349.84,6.93e-29
665,448.63,188.6,1.66e-10
688,1302.21,349.84,4.2e-44
727,508.23,216.44,3.85e-12
790,1091.77,349.84,3.94e-36
848,510.59,197.75,1.34e-12
855,396.19,149.77,2.38e-6
856,449.66,189.08,4.14e-9
864,395.47,152.43,1.99e-9
869,392.23,157.36,1.38e-8
871,411.21,171.12,1.95e-9
887,885.79,349.84,7.75e-26
898,432.76,162.07,1.79e-7
899,444.39,168.98,2.41e-9
902,432.76,162.07,1.79e-7
903,444.39,168.98,2.41e-9
911,450.64,189.54,9.5e-11
928,897.71,349.84,5.57e-29
942,659.96,287.32,9.45e-20
949,752.16,330.39,8.12e-21
964,489.15,207.53,5.1e-13
976,1552.14,349.84,0
978,1552.14,349.84,0
985,718.53,338.85,1.44e-17
989,513.94,219.11,3.13e-10
1002,792.58,349.27,3.4e-25
1094,NA,NA,NA
1308,380.68,132.79,1.33e-7
1312,380.68,132.79,1.33e-7
1358,1170.74,349.84,4.26e-39
1381,371.74,134.49,2.02e-8
1396,380.68,132.79,1.33e-7
1403,591.67,255.42,5.33e-17
1520,380.68,132.79,1.33e-7
1545,703.81,336.7,3.69e-21
1554,945.01,349.84,1.0500000000000001e-30
1569,657.45,329.94,4.69e-17
1589,744.67,326.89,3.29e-23
1610,622.61,324.85,2.84e-13
1613,537.33,230.04,3.29e-15
1622,391.87,153.08,2.94e-10
1638,2951.08,349.84,0
1657,912.67,349.84,1.59e-29
1673,867.64,349.84,6.32e-27
1678,574.87,247.57,2.36e-16
1680,574.87,247.57,2.36e-16
1705,709.57,337.54,2.3e-21
1714,519.69,221.79,1.11e-13
1718,NA,NA,NA
1728,NA,NA,NA
1784,504.13,214.53,2.07e-10
1809,NA,NA,NA
1838,359.92,129.17,5.38e-8
1848,870.49,349.84,4.89e-27
1859,927.96,349.84,4.78e-29
1875,655.55,285.26,6.86e-19
1877,813.34,349.84,2.77e-23
1887,623.01,270.06,1.27e-17
1889,504.14,214.53,1.21e-13
1894,885.03,349.84,1.6e-28
1898,885.03,349.84,1.6e-28
1937,367.33,150.62,7.12e-8
1944,424.64,155.71,1.79e-10
1946,424.64,155.71,1.79e-10
1955,361.5,133.38,1.99e-7
1961,591.59,255.38,3.53e-16
1965,591.59,255.38,3.53e-16
1969,951.46,349.84,8.24e-29
1974,398.79,165.32,7.22e-9
1981,717.76,314.32,3.12e-17
1983,563.53,242.28,6.6e-16
1987,720.14,315.43,1.95e-21
1989,964.84,349.84,2.39e-30
1992,776.65,341.83,1.07e-23
2044,299.31,53.53,1.66e-5
2055,636.05,326.81,3.24e-15
2066,548.72,235.36,2.31e-13
2131,933.4,349.84,2.8e-30
2400,655.71,329.68,9e-16
2413,775.88,341.47,1.68e-24
2441,736.8,323.21,6.94e-23
2540,848.11,349.84,3.45e-27
2559,1094.52,349.84,3.11e-36
2581,430.85,180.3,7.72e-9
2583,400.31,166.03,6.39e-9
2601,487.4,206.71,4.45e-11
2607,367.19,149.71,1.43e-8
2609,537.33,230.04,3.29e-15
2637,887.38,349.84,2.47e-22
2638,386.41,145.2,1.77e-6
2649,759.26,333.7,8.98e-22
2651,426.98,171.47,3.17e-10
2657,514.19,219.23,5.79e-13
2662,386.13,146.1,1.12e-8
2676,480,90.27,1.43e-12
2681,648.82,282.11,7.58e-14
2690,375.19,138.3,1.98e-7
2713,379.33,132.75,2.18e-6
2781,1315.67,349.84,1.26e-44
2839,874.85,349.84,2.87e-24
2859,1230.29,349.84,2.37e-41
2884,930.73,349.84,3.5e-30
2888,514.92,219.57,8.13e-12
2922,505.67,215.25,6.85e-14
3058,708.74,310.1,9.84e-22
3062,450.64,189.54,9.5e-11
3064,465.22,196.35,3.23e-9
3065,845.24,349.84,4.37e-27
3087,738.98,324.23,9.5e-21
3088,508.92,216.77,5.81e-14
3089,466.63,197.01,2.35e-10
3091,548.72,235.36,2.31e-13
3097,920.03,349.84,5.79e-28
3098,606.28,262.24,1.34e-17
3103,680.44,296.88,1.4e-20
3104,863.75,349.84,1.23e-26
3107,863.75,349.84,1.23e-26
