molecule_id,vp_est,total_atom_count,molecular_weight,alogp,number_of_minimal_rings,contains_ring_sugars
266590,0.00218,26,284.02,4.47,1,FALSE
184637,6.33e-9,20,325.94,2.25,1,FALSE
186274,3.84e-6,16,343.83,5,2,FALSE
512031,3.05e-9,54,334.46,4.49,1,FALSE
226887,1.1e-14,62,438.52,5.53,3,FALSE
227516,8.24e-19,57,446.41,-2.88,3,TRUE
548232,1.95e-9,48,328.41,3.64,2,FALSE
230823,5.19e-14,54,364.44,1.9,4,FALSE
231411,1.5499999999999998e-24,89,692.67,-0.47,6,FALSE
432186,NA,24,185.18,-1.36,1,FALSE
520223,5.5e-11,35,286.28,2.46,3,FALSE
520936,1.4e-9,66,390.56,6.37,2,FALSE
521597,5.25e-11,46,474.62,3.52,2,FALSE
524804,4.56e-10,28,325.53,3.96,2,FALSE
525459,4.31e-5,35,260.29,1.05,4,FALSE
616465,2.01e-8,22,196.16,1.03,2,FALSE
667269,1.43e-5,50,281.51,6.34,1,FALSE
667988,5.36e-18,48,357.36,-2.02,2,TRUE
671205,8.26e-22,87,531.73,5.48,2,TRUE
671376,9.62e-12,82,442.73,8.05,3,FALSE
531261,1.22e-13,59,354.49,2.72,2,FALSE
672997,2.87e-13,39,302.28,-1.42,2,TRUE
673152,1.06e-10,52,341.45,2.11,6,FALSE
673211,0,189,1314.55,1.65,7,FALSE
674506,1.78e-27,82,626.61,-2.32,7,TRUE
684452,2.36e-9,56,306.49,4.44,0,FALSE
685353,2.95e-9,56,396.44,1.85,3,FALSE
685625,2.01e-7,56,306.49,4.71,3,FALSE
685892,1.31e-9,41,296.32,1.08,1,FALSE
686155,3.24e-30,109,739.86,1.11,3,TRUE
696857,2.97e-7,30,200.23,0.59,1,FALSE
698435,1.33e-12,37,306.32,1.47,4,FALSE
688054,8.23e-20,54,429.43,2.45,3,FALSE
238021,9.9e-16,73,491.07,5.57,1,FALSE
689847,1.8e-4,30,214.26,2.38,2,FALSE
690000,8.27e-6,16,299.38,4.89,2,FALSE
243445,1.65e-11,39,290.31,3.17,2,FALSE
690875,1.49e-14,62,416.51,2.66,4,FALSE
690932,1.26e-12,62,364.53,6.18,1,FALSE
691303,5.28e-22,67,562.53,3.51,7,FALSE
691926,6.2e-19,88,500.76,6.06,0,FALSE
244850,3.34e-10,68,344.58,5.62,0,FALSE
694531,1.01e-14,39,314.36,-0.24,2,FALSE
694552,3.93e-11,45,318.37,2.1,4,FALSE
694900,2.12e-25,77,551.64,3.54,4,FALSE
695037,4.44e-20,60,491.01,2.68,4,FALSE
695124,2.48e-15,62,515.86,5.99,4,FALSE
695288,7e-20,68,487.55,0.92,5,FALSE
695628,1.44e-14,66,394.55,3.83,1,FALSE
695691,9e-19,51,428.39,0.16,5,FALSE
695893,1.42e-23,56,444.44,-0.5,4,FALSE
696099,2.07e-10,28,289.67,3.55,3,FALSE
697686,2.06e-11,78,565.55,1.3,1,TRUE
245597,2.37e-6,56,332.48,5.37,3,FALSE
698469,1.11e-6,57,331.5,5.22,3,FALSE
