molecule_id,topological_polar_surface_area,rotatable_bond_count,hydrogen_bond_acceptors,hydrogen_bond_donors,aromatic_rings_count,fractioncsp3,total_atom_count,molecular_weight,alogp,number_of_minimal_rings,contains_ring_sugars
266590,0,1,0,0,0,0.6,26,284.02,4.47,1,FALSE
184637,77.76,2,3,3,1,0.13,20,325.94,2.25,1,FALSE
186274,15.79,0,0,1,2,0,16,343.83,5,2,FALSE
512031,71.44,12,3,1,0,0.65,54,334.46,4.49,1,FALSE
226887,85.22,6,6,2,2,0.35,62,438.52,5.53,3,FALSE
227516,184.6,7,12,6,1,0.63,57,446.41,-2.88,3,TRUE
548232,60.44,1,4,0,0,0.45,48,328.41,3.64,2,FALSE
230823,115.06,2,4,4,0,0.8,54,364.44,1.9,4,FALSE
231411,245.79,6,16,5,1,0.67,89,692.67,-0.47,6,FALSE
432186,85.28,1,4,4,0,0.63,24,185.18,-1.36,1,FALSE
520223,79.9,2,5,2,3,0.19,35,286.28,2.46,3,FALSE
520936,44.76,12,4,0,0,0.71,66,390.56,6.37,2,FALSE
521597,47.92,2,4,1,0,0.81,46,474.62,3.52,2,FALSE
524804,55.48,3,8,2,1,0.33,28,325.53,3.96,2,FALSE
525459,44.76,3,4,0,0,0.67,35,260.29,1.05,4,FALSE
616465,86.99,0,5,3,1,0.22,22,196.16,1.03,2,FALSE
667269,12.89,11,2,0,1,0.82,50,281.51,6.34,1,FALSE
667988,148.71,6,8,6,1,0.56,48,357.36,-2.02,2,TRUE
671205,108.25,17,6,4,1,0.65,87,531.73,5.48,2,TRUE
671376,37.3,6,2,1,0,0.83,82,442.73,8.05,3,FALSE
531261,86.99,0,5,3,0,0.85,59,354.49,2.72,2,FALSE
672997,128.84,4,8,5,1,0.54,39,302.28,-1.42,2,TRUE
673152,57.61,0,4,1,0,0.81,52,341.45,2.11,6,FALSE
673211,428.1,19,17,12,1,0.64,189,1314.55,1.65,7,FALSE
674506,227.34,5,15,6,1,0.79,82,626.61,-2.32,7,TRUE
684452,40.46,15,2,2,0,0.8,56,306.49,4.44,0,FALSE
685353,114.96,8,8,1,0,0.75,56,396.44,1.85,3,FALSE
685625,29.46,1,2,1,0,0.9,56,306.49,4.71,3,FALSE
685892,89.9,6,6,1,0,0.53,41,296.32,1.08,1,FALSE
686155,230.11,16,15,8,1,0.65,109,739.86,1.11,3,TRUE
696857,66.76,3,4,2,0,0.7,30,200.23,0.59,1,FALSE
698435,74.6,0,4,2,2,0.16,37,306.32,1.47,4,FALSE
688054,145.88,6,8,4,1,0.32,54,429.43,2.45,3,FALSE
238021,75.71,16,4,1,0,0.52,73,491.07,5.57,1,FALSE
689847,18.46,0,2,0,0,0.43,30,214.26,2.38,2,FALSE
690000,15.79,0,0,1,2,0,16,299.38,4.89,2,FALSE
243445,83.83,6,5,2,1,0.38,39,290.31,3.17,2,FALSE
690875,97.74,0,6,1,0,0.75,62,416.51,2.66,4,FALSE
690932,67.51,15,4,1,1,0.73,62,364.53,6.18,1,FALSE
691303,147.05,5,11,2,3,0.37,67,562.53,3.51,7,FALSE
691926,80.92,23,4,4,0,0.75,88,500.76,6.06,0,FALSE
244850,49.69,20,3,2,0,1,68,344.58,5.62,0,FALSE
694531,106.94,6,5,3,0,0.62,39,314.36,-0.24,2,FALSE
694552,72.83,0,5,1,0,0.67,45,318.37,2.1,4,FALSE
694900,150.23,3,8,4,1,0.48,77,551.64,3.54,4,FALSE
695037,111.81,7,7,3,1,0.5,60,491.01,2.68,4,FALSE
695124,83.83,2,5,2,1,0.6,62,515.86,5.99,4,FALSE
695288,133.6,3,8,3,0,0.65,68,487.55,0.92,5,FALSE
695628,83.83,2,5,2,0,0.74,66,394.55,3.83,1,FALSE
695691,143.5,4,9,3,2,0.41,51,428.39,0.16,5,FALSE
695893,181.62,2,9,6,1,0.41,56,444.44,-0.5,4,FALSE
696099,83.56,2,4,2,3,0,28,289.67,3.55,3,FALSE
697686,215.3,16,10,6,0,0.67,78,565.55,1.3,1,TRUE
245597,35.53,2,3,0,0,0.76,56,332.48,5.37,3,FALSE
698469,52.32,2,2,1,0,0.76,57,331.5,5.22,3,FALSE
698496,40.46,8,2,2,0,0.41,45,262.39,3.41,0,FALSE
699900,125.43,36,9,1,0,0.9,120,685,9.48,0,FALSE
925462,185.1,6,13,2,1,0.73,88,646.69,2.41,6,FALSE
163916,0,5,0,0,0,0.27,27,148.25,3.64,0,FALSE
70289,123.55,5,8,3,1,0.53,49,369.37,0.32,2,TRUE
702626,157.94,3,9,6,1,0.5,41,343.29,-2.13,3,TRUE
538771,18.46,4,2,0,0,0.73,39,392.13,3.82,2,FALSE
540607,115.4,9,7,3,1,0.43,56,717.05,4.02,3,FALSE
241014,138.07,5,9,5,1,0.57,43,332.31,-1.41,2,TRUE
676564,230.11,16,15,8,1,0.65,109,739.86,1.11,3,TRUE
677537,114.68,5,8,3,2,0.38,51,402.4,0.46,4,FALSE
679170,103.26,1,5,3,1,0.2,25,223.18,0.69,2,FALSE
241551,308.12,8,19,11,3,0.55,92,740.66,-2.54,6,TRUE
681197,35.42,11,3,0,0,0.92,39,261.46,3.59,0,FALSE
681204,77.76,2,4,3,0,0.77,39,242.31,0.79,1,FALSE
682722,73.48,1,4,2,0,0.38,21,324.96,1.15,1,FALSE
683029,107.22,12,6,4,0,0.8,49,304.38,0.52,0,FALSE
536983,54.37,22,6,1,0,0.91,70,450.78,7.97,0,FALSE
683095,101.2,6,3,4,2,0.42,61,443.98,5.21,3,FALSE
242867,66.76,19,4,2,0,0.96,70,372.59,5.39,0,FALSE
684198,88.13,3,7,0,0,0.79,65,434.53,3.9,4,FALSE
549466,35.53,5,3,0,0,0.76,56,332.48,4.88,3,FALSE
516740,87.36,2,7,1,3,0.32,42,356.33,2.89,5,FALSE
517307,55.76,11,3,1,0,0.85,60,340.5,5.52,1,FALSE
689682,128.59,3,9,2,0,0.63,52,396.39,0.63,3,FALSE
518267,76.13,11,5,1,0,0.62,56,488.36,4.18,2,FALSE
518589,57.15,5,5,1,0,0.65,64,392.54,4.15,2,FALSE
518615,49.69,2,3,2,1,0.25,21,233.06,1.66,1,FALSE
519198,125.43,2,9,1,0,0.58,50,394.38,1.06,3,FALSE
519442,66.76,2,4,2,0,0.88,26,174.2,-0.52,1,FALSE
519528,144.14,11,10,4,0,0.62,94,653.21,3.92,3,TRUE
519591,46.53,11,3,1,0,0.59,48,280.41,3.94,0,FALSE
519593,20.23,0,1,1,0,0.73,40,220.36,3.7,2,FALSE
519609,34.14,17,2,0,0,0.67,82,442.73,9.12,0,FALSE
519684,12.36,6,1,0,0,0.69,44,371.18,6.36,1,FALSE
519727,69.18,4,6,2,1,0.56,49,369.85,2.52,3,TRUE
520275,46.53,6,3,1,0,0.69,43,264.36,3.28,2,FALSE
520287,124.29,3,7,4,0,0.66,82,506.68,3.81,1,FALSE
520362,90.15,4,5,4,2,0.2,36,670.77,6.06,2,FALSE
520763,55.76,4,4,1,0,0.91,35,408.51,2.92,1,FALSE
521065,93.06,12,6,2,0,0.48,59,402.49,2.81,0,FALSE
