molecule_id,cluster
266590,1
184637,7
186274,1
512031,9
226887,6
227516,4
548232,3
230823,3
231411,8
520223,1
520936,3
521597,3
524804,1
525459,1
616465,7
667269,9
667988,4
671205,8
671376,6
531261,3
672997,1
673152,3
673211,2_2
674506,4
684452,9
685353,3
685625,3
685892,1
686155,2_3
696857,7
698435,1
688054,8
238021,9
689847,1
690000,1
243445,1
690875,3
690932,9
691303,8
691926,9
244850,9
694531,1
694552,3
694900,8
695037,8
695124,6
695288,8
695628,9
695691,4
695893,4
696099,1
697686,9
245597,3
698469,3
698496,9
699900,10_2
925462,8
163916,7
70289,1
702626,4
538771,1
540607,8
241014,4
676564,2_3
677537,4
679170,1
241551,5_1
681197,9
681204,1
682722,7
683029,9
536983,9
683095,6
242867,9
684198,3
549466,3
516740,3
517307,9
689682,3
518267,3
518589,3
518615,7
519198,3
519442,7
519528,2_3
519591,9
519593,1
519609,9
519684,9
519727,3
520275,1
520287,9
520362,3
520763,9
521065,9
521201,1
521422,3
521452,3
521484,3
521595,1
522281,1
522405,1
522636,3
522950,3
523044,1
542639,9
524180,9
524433,1
525200,1
525996,8
526396,3
527141,3
527376,9
527410,3
527659,8
527695,7
528056,1
528160,1
528346,6
529468,1
529480,3
529627,3
530038,7
530060,9
530400,1
530471,1
530833,3
689692,8
531373,9
531392,10_2
531557,3
531921,9
532109,9
532326,9
532365,9
532622,7
532642,9
532838,3
532970,1
689697,2_1
689700,7
533479,3
542860,9
534370,9
564515,9
544096,8
534453,9
534478,3
534527,9
534885,9
534918,9
680864,7
534973,3
689702,2_1
689704,6
233309,7
493823,3
286308,7
542486,1
464022,9
515943,1
547224,1
520644,9
234856,10_2
546652,9
547187,4
511362,3
519043,7
511810,9
511980,9
522270,10_4
689708,3
689709,10_4
513439,6
513468,3
514023,10_3
514473,6
514517,3
514687,9
515088,9
515334,10_2
515638,3
515940,3
599857,1
599860,9
681680,6
238777,3
536736,10_2
535468,6
535480,7
122330,7
681820,9
597984,1
535533,3
600126,8
535568,6
238881,6
515678,9
619932,4
602067,5_1
516225,3
535631,9
605215,1
535647,3
647242,1
520415,3
523526,1
524113,10_3
535749,1
524347,6
535810,3
542590,6
524610,2_3
524674,8
524996,5_1
535854,3
535855,6
535926,3
535982,9
535990,1
239061,8
535995,6
548344,9
543440,1
536024,4
529928,1
544410,8
534221,3
532824,6
535668,9
536039,1
536066,3
536067,3
239388,2_3
536137,7
524333,6
536228,2_3
239491,5_2
541741,1
536487,6
536502,6
536642,1
536681,8
536708,8
536772,6
536774,8
536786,5_3
239615,6
166082,5_1
536812,5_3
511346,8
536842,1
536844,3
239847,3
240326,9
240891,1
241250,1
537541,1
241345,3
241627,4
242092,2_1
242451,4
242702,3
242858,3
242895,8
243105,1
243185,3
243550,2_3
243705,10_3
243720,4
618432,7
243837,3
243957,1
243984,3
244007,10_5
244369,1
244165,3
244358,9
244483,6
244500,1
537027,8
244675,3
244732,1
537031,4
244818,2_3
244843,9
244876,4
245354,5_1
245560,9
245781,3
246069,3
246127,2_2
618260,1
246467,8
246494,1
246495,1
537095,8
246654,1
246698,2_3
246886,2_2
246956,9
247084,9
247252,6
247329,5_3
247417,1
247527,1
247693,1
537139,2_2
247766,9
247929,8
537168,1
537191,2_2
535136,1
535165,2_2
535166,1
535175,3
584128,3
535200,9
546877,9
584304,10_1
584580,1
239537,5_2
584956,7
535224,9
52594,1
535247,6
535248,3
667909,7
602775,3
638259,1
535364,5_1
535370,3
639924,9
535396,3
165184,1
548262,9
698402,2_3
537444,3
537486,1
165270,9
537600,8
537635,9
537707,2_3
537718,7
537744,2_3
537856,7
537867,6
537948,2_3
537990,4
538030,3
538168,3
538169,3
538203,3
538285,7
538297,3
538354,3
538371,2_2
538388,8
538423,3
538424,4
538458,5_3
538459,8
538523,8
538554,8
538569,8
538632,6
538646,10_1
538703,3
538731,6
538732,8
538733,3
538743,2_2
538777,10_3
538778,10_3
538790,10_3
538805,8
538806,8
538948,9
538960,6
539008,3
539041,4
539060,3
539105,10_3
539140,6
