molecule_id,cluster
266590,2_1
184637,3
186274,3
512031,8
226887,4
227516,9
548232,10
230823,9
231411,6
432186,3
520223,4
520936,8
521597,10
524804,4
525459,10
616465,3
667269,8
667988,9
671205,1_2
671376,7
531261,10
672997,9
673152,10
673211,5_2
674506,5_3
684452,8
685353,9
685625,10
685892,3
686155,1_2
696857,3
698435,4
688054,4
238021,8
689847,10
690000,3
243445,4
690875,10
690932,8
691303,6
691926,8
244850,8
694531,9
694552,10
694900,9
695037,9
695124,7
695288,9
695628,8
695691,4
695893,9
696099,4
697686,1_2
245597,10
698469,10
698496,8
699900,8
925462,9
163916,2_2
70289,9
702626,9
538771,10
540607,6
241014,9
676564,1_2
677537,4
679170,3
241551,6
681197,8
681204,3
682722,3
683029,8
536983,8
683095,4
242867,8
684198,7
549466,10
516740,4
517307,8
689682,9
518267,8
518589,7
518615,3
519198,9
519442,3
519528,1_2
519591,8
519593,10
519609,8
519684,8
519727,9
520275,10
520287,9
520362,4
520763,10
521065,8
521201,10
521422,4
521452,10
521484,10
521595,10
522281,3
522405,4
522636,4
522950,7
523044,3
542639,8
524180,8
524433,2_1
525200,3
525996,9
526396,10
527141,8
527376,1_1
527410,4
527659,7
527695,3
528056,4
528160,3
528346,1_2
529468,3
529480,7
529627,10
530038,3
530060,10
530400,3
530471,4
530833,7
689692,9
531373,8
531392,1_1
531557,8
531921,8
532109,8
532326,8
532365,8
532622,3
532642,8
532838,10
532970,10
689697,6
689700,3
533479,9
542860,8
534370,8
564515,8
544096,6
534453,8
534478,7
534527,8
534885,8
534918,8
680864,3
534973,7
689702,6
689704,7
233309,3
493823,2_1
286308,3
542486,2_1
464022,8
515943,3
547224,10
520644,8
234856,1_1
546652,8
547187,9
511362,8
519043,3
511810,8
511980,9
522270,1_1
689708,7
689709,1_1
513439,7
513468,9
514023,1_2
514473,1_2
514517,10
514687,8
515088,8
515334,1_1
515638,4
515940,10
599857,4
599860,8
681680,7
238777,4
536736,8
535468,10
535480,3
122330,3
681820,8
597984,10
535533,7
600126,4
535568,7
238881,7
515678,8
619932,9
602067,6
516225,10
535631,8
605215,9
535647,7
647242,4
520415,10
523526,3
524113,1_1
535749,10
524347,7
535810,10
542590,7
524610,1_2
524674,9
524996,5_3
535854,10
535855,7
535926,7
535982,8
535990,10
239061,4
535995,1_2
548344,1_1
543440,3
536024,9
529928,10
544410,4
534221,10
532824,7
535668,8
536039,10
536066,10
536067,10
239388,6
536137,3
524333,1_2
536228,9
239491,5_4
541741,10
536487,7
536502,7
536642,4
536655,5_5
536681,9
536708,6
536772,7
536774,1_2
536786,5_5
536794,9
239615,7
166082,6
536812,5_5
511346,6
536842,3
536844,4
239847,4
240326,8
240891,4
241250,9
537541,4
241345,8
241627,9
242092,6
242451,9
242702,4
242858,10
242895,9
243105,10
243185,7
243550,6
243705,1_1
243720,6
618432,10
243837,7
243957,4
243984,10
244007,1_2
244369,10
244165,10
244358,4
244483,7
244500,4
537027,4
244675,10
244732,3
537031,9
244818,1_2
244843,8
244876,6
245354,6
245560,8
245781,10
246069,10
246127,6
618260,4
246467,4
246494,10
246495,10
537095,4
246654,10
246698,1_2
246886,6
246956,8
247084,8
247252,7
247329,5_5
247417,3
247527,3
247693,10
537139,5_3
247766,8
247929,6
537168,10
537191,5_3
535136,4
535165,9
535166,8
535175,4
584128,9
535200,8
546877,8
584304,1_2
584580,9
239537,5_4
584956,3
