molecule_id,source_type,reference_doi,remarks,timestamp,input_type,conc_bsw,conc_sml,conc_ssa,direct_factor_value,direct_factor_type
75317,Field Sample,doi.org/10.1016/S0304-4203(01)00049-4,NA,2025-12-18 15:16:37.401763,Concentrations,0.028,0.123,NA,NA,NA
4125,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18 15:20:38.683936,Concentrations,2.15,0.88,0.66,NA,NA
5708,Field Sample,doi.org/10.1016/S0304-4203(01)00049-4,NA,2025-12-18 15:25:55.713715,Concentrations,0.011,0.002,NA,NA,NA
5708,Field Sample,doi.org/10.1016/S0304-4203(01)00049-4,NA,2025-12-18 15:26:09.721831,Concentrations,0.029,0.172,NA,NA,NA
4775,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18 15:28:59.826634,Concentrations,1.65,4.19,1.33,NA,NA
1312,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18 15:31:56.963461,Concentrations,15.39,17.56,6.04,NA,NA
23494,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18 15:32:25.341536,Concentrations,3.23,3.76,1.84,NA,NA
6323,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18 15:33:19.420835,Concentrations,0.19,1.73,0.63,NA,NA
425158,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18 15:34:01.433925,Concentrations,7.24,9.63,5.52,NA,NA
695076,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18 15:34:56.663596,Concentrations,30.07,25.96,28.98,NA,NA
36050,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18 15:35:36.323609,Concentrations,8.82,8.91,1.76,NA,NA
5876,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18 15:36:00.060064,Concentrations,8.59,6.06,7.15,NA,NA
34818,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18 15:38:28.340846,Concentrations,3.21,1.91,9.87,NA,NA
6086,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18 15:42:55.776267,Concentrations,0.19,4.87,6.16,NA,NA
6202,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18 15:43:21.973675,Concentrations,1.59,3.98,4.79,NA,NA
6179,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18 15:43:42.124758,Concentrations,12.87,4.77,3.7,NA,NA
6738,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18 15:44:05.132628,Concentrations,7.24,9.63,5.52,NA,NA
5994,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18 15:44:29.191895,Concentrations,8.56,8.73,8.75,NA,NA
72087,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18 15:44:57.521638,Concentrations,17.94,4.43,4.45,NA,NA
5343,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18 15:45:19.042769,Concentrations,17.66,7.33,12.35,NA,NA
38729,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18 15:45:53.416431,Concentrations,16.39,24.42,18.68,NA,NA
5873,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18 15:46:17.296549,Concentrations,5.56,13.67,11.67,NA,NA
