k,boot,Method,Silhouette
3,1,K-Means,0.2721318575823875
3,1,HC-Ward,0.26309021914543806
3,1,CLARA,0.26583354117625774
4,1,K-Means,0.26456158750601233
4,1,HC-Ward,0.2035594452496306
4,1,CLARA,0.213969175679535
5,1,K-Means,0.2382910314170428
5,1,HC-Ward,0.17695575776921768
5,1,CLARA,0.22428126688499295
6,1,K-Means,0.2510595437172763
6,1,HC-Ward,0.16057971628986525
6,1,CLARA,0.2181065442360857
8,1,K-Means,0.2571877122006256
8,1,HC-Ward,0.17175386837754678
8,1,CLARA,0.20345345458587072
10,1,K-Means,0.2281750199783516
10,1,HC-Ward,0.18834035040334338
10,1,CLARA,0.19060300824090456
12,1,K-Means,0.22917955168005322
12,1,HC-Ward,0.17599253798755524
12,1,CLARA,0.18802858121963575
15,1,K-Means,0.22271214050803115
15,1,HC-Ward,0.1670066299346249
15,1,CLARA,0.16440327371250857
19,1,K-Means,0.22389363744454527
19,1,HC-Ward,0.16787516549724296
19,1,CLARA,0.1727435465164862
24,1,K-Means,0.21928573635130205
24,1,HC-Ward,0.158122350782645
24,1,CLARA,0.16865024729832748
30,1,K-Means,0.21436062759740435
30,1,HC-Ward,0.16400621870103008
30,1,CLARA,0.1938842544459286
38,1,K-Means,0.21426549966063685
38,1,HC-Ward,0.15597024597693962
38,1,CLARA,0.1708134401191554
48,1,K-Means,0.21399122881632715
48,1,HC-Ward,0.16195890875466112
48,1,CLARA,0.17687218759303328
3,2,K-Means,0.2733082017938399
3,2,HC-Ward,0.27348566774313604
3,2,CLARA,0.26763579239992935
4,2,K-Means,0.2707876849961058
4,2,HC-Ward,0.18546383726916707
4,2,CLARA,0.2148353816361346
5,2,K-Means,0.23934160791188888
5,2,HC-Ward,0.18362076045348996
5,2,CLARA,0.22397444672026146
6,2,K-Means,0.25001605617670913
6,2,HC-Ward,0.19861346254994106
6,2,CLARA,0.21709956044847237
8,2,K-Means,0.2604925417098457
8,2,HC-Ward,0.19658457123556672
8,2,CLARA,0.20111635827653848
10,2,K-Means,0.2241595130356091
10,2,HC-Ward,0.1510664376236101
10,2,CLARA,0.18728554864660726
12,2,K-Means,0.2239702645576171
12,2,HC-Ward,0.15645620465147764
12,2,CLARA,0.19214975920126756
15,2,K-Means,0.22265903297800757
15,2,HC-Ward,0.16592166727329014
15,2,CLARA,0.16596711077524828
19,2,K-Means,0.22319914146131628
19,2,HC-Ward,0.16472479227423428
19,2,CLARA,0.16795882603270532
24,2,K-Means,0.21885778786985668
24,2,HC-Ward,0.16140167804570318
24,2,CLARA,0.1681873878653066
30,2,K-Means,0.21337873519870973
30,2,HC-Ward,0.16287660398331366
30,2,CLARA,0.19262685920115952
38,2,K-Means,0.21455504324436797
38,2,HC-Ward,0.15378331748176832
38,2,CLARA,0.17049479340945337
48,2,K-Means,0.2166701318177663
48,2,HC-Ward,0.1651269133446723
48,2,CLARA,0.17920199508629195
3,3,K-Means,0.27774133098077597
3,3,HC-Ward,0.2669242758249159
3,3,CLARA,0.27207835854065876
4,3,K-Means,0.26937580904868413
4,3,HC-Ward,0.20100668530477753
4,3,CLARA,0.21329787536271272
5,3,K-Means,0.24062619041917943
5,3,HC-Ward,0.20983415382618087
5,3,CLARA,0.22412188171675837
6,3,K-Means,0.2471598894724898
6,3,HC-Ward,0.18417159728675686
6,3,CLARA,0.21470510632548703
8,3,K-Means,0.2598550547271046
8,3,HC-Ward,0.20126647877227943
8,3,CLARA,0.2076020178580355
10,3,K-Means,0.22468317496918255
10,3,HC-Ward,0.16987729075883434
10,3,CLARA,0.18615862469700584
12,3,K-Means,0.22289190799393027
12,3,HC-Ward,0.1655172003346733
12,3,CLARA,0.18703251149550654
15,3,K-Means,0.2233480741958697
15,3,HC-Ward,0.16670582566690562
15,3,CLARA,0.16368375225356793
19,3,K-Means,0.22132844802312263
19,3,HC-Ward,0.1644957093942448
19,3,CLARA,0.17574689846324237
24,3,K-Means,0.2182764707810578
24,3,HC-Ward,0.1601814499958555
24,3,CLARA,0.16864567481279197
30,3,K-Means,0.21365252218214595
30,3,HC-Ward,0.16989074570523843
30,3,CLARA,0.19787029645018062
38,3,K-Means,0.21128974893423066
38,3,HC-Ward,0.16166461998191742
38,3,CLARA,0.16557965662582122
48,3,K-Means,0.21234162250855063
48,3,HC-Ward,0.16507646338367174
48,3,CLARA,0.17675398802024045
3,4,K-Means,0.2756081680437535
3,4,HC-Ward,0.27030100958211045
3,4,CLARA,0.2707700464474003
4,4,K-Means,0.2674204320567408
4,4,HC-Ward,0.2042209934975603
4,4,CLARA,0.21376294229560497
5,4,K-Means,0.24069580250741834
5,4,HC-Ward,0.20375518143720445
5,4,CLARA,0.22026357114523692
6,4,K-Means,0.25144602534200927
6,4,HC-Ward,0.21639679762703326
6,4,CLARA,0.2183447738834257
8,4,K-Means,0.2601820156119288
8,4,HC-Ward,0.15701408921960208
8,4,CLARA,0.20138056942260127
10,4,K-Means,0.225831653954721
10,4,HC-Ward,0.15581496773731654
10,4,CLARA,0.18688420038702763
12,4,K-Means,0.22289190799393027
12,4,HC-Ward,0.1655172003346733
12,4,CLARA,0.18703251149550654
15,4,K-Means,0.22263634182923664
15,4,HC-Ward,0.1730303123642672
