k,boot,Method,Silhouette
6,1,K-Means,0.19456338073665164
6,1,HC-Ward,0.12069482721802904
6,1,CLARA,0.17341772800097416
8,1,K-Means,0.18289539486185208
8,1,HC-Ward,0.12376378182183247
8,1,CLARA,0.15596936851137905
10,1,K-Means,0.18694631113621524
10,1,HC-Ward,0.13004509537594863
10,1,CLARA,0.16058356214996322
12,1,K-Means,0.1689650509004009
12,1,HC-Ward,0.11335062599811357
12,1,CLARA,0.14701929905261016
15,1,K-Means,0.17395127813089506
15,1,HC-Ward,0.10900868065927473
15,1,CLARA,0.14558965924302408
19,1,K-Means,0.1664125934150805
19,1,HC-Ward,0.1135685032926519
19,1,CLARA,0.14010984040330193
24,1,K-Means,0.17146215192992378
24,1,HC-Ward,0.11533591801476588
24,1,CLARA,0.1361620677794337
30,1,K-Means,0.17075425075559178
30,1,HC-Ward,0.11676310078882964
30,1,CLARA,0.12733168195035946
38,1,K-Means,0.16455393307077296
38,1,HC-Ward,0.11023195219475297
38,1,CLARA,0.12580503914676416
48,1,K-Means,0.1690419726571902
48,1,HC-Ward,0.11678952065728841
48,1,CLARA,0.13185713951905315
6,2,K-Means,0.19286605215716593
6,2,HC-Ward,0.11166848428891146
6,2,CLARA,0.17075361879472947
8,2,K-Means,0.1883566048178874
8,2,HC-Ward,0.154134601749736
8,2,CLARA,0.15320823408502643
10,2,K-Means,0.184482679753121
10,2,HC-Ward,0.12724213062124548
10,2,CLARA,0.16045461880809087
12,2,K-Means,0.17223765631198817
12,2,HC-Ward,0.1357242126774865
12,2,CLARA,0.14329198180235259
15,2,K-Means,0.17256231749275644
15,2,HC-Ward,0.10703604816387803
15,2,CLARA,0.14443089120042446
19,2,K-Means,0.16511685342945648
19,2,HC-Ward,0.11085988225423794
19,2,CLARA,0.13720976084365963
24,2,K-Means,0.16967807529617607
24,2,HC-Ward,0.10471241065000264
24,2,CLARA,0.13765544596206958
30,2,K-Means,0.16787337482904266
30,2,HC-Ward,0.11777069165579088
30,2,CLARA,0.12895645174370912
38,2,K-Means,0.1653839549989677
38,2,HC-Ward,0.1087273018440425
38,2,CLARA,0.12616230471882675
48,2,K-Means,0.16854812819495368
48,2,HC-Ward,0.1118355254882395
48,2,CLARA,0.12779338738854093
6,3,K-Means,0.19471894157010677
6,3,HC-Ward,0.15671202210435436
6,3,CLARA,0.1720273806599299
8,3,K-Means,0.185523246546381
8,3,HC-Ward,0.14619765126495554
8,3,CLARA,0.15566988061042103
10,3,K-Means,0.1834645513569068
10,3,HC-Ward,0.13465123798730796
10,3,CLARA,0.15827181437830518
12,3,K-Means,0.16805997895417954
12,3,HC-Ward,0.11115353771003109
12,3,CLARA,0.14161329349933405
15,3,K-Means,0.1719599452473658
15,3,HC-Ward,0.125737775850155
15,3,CLARA,0.14500721973939273
19,3,K-Means,0.1649955707938088
19,3,HC-Ward,0.10385376289546921
19,3,CLARA,0.13879098671485593
24,3,K-Means,0.1743017613530103
24,3,HC-Ward,0.11443687598434646
24,3,CLARA,0.13628453287085895
30,3,K-Means,0.16811130711984876
30,3,HC-Ward,0.11421061244551756
30,3,CLARA,0.12755489648483548
38,3,K-Means,0.1658536193636011
38,3,HC-Ward,0.12587635705412167
38,3,CLARA,0.12539685934192024
48,3,K-Means,0.1690679134031825
48,3,HC-Ward,0.12551753084585382
48,3,CLARA,0.12839729310717143
6,4,K-Means,0.19490804034027726
6,4,HC-Ward,0.15109095418279073
6,4,CLARA,0.17411439768978992
8,4,K-Means,0.18668231838951663
8,4,HC-Ward,0.1584141846614627
8,4,CLARA,0.15453776318372095
10,4,K-Means,0.1856640195923782
10,4,HC-Ward,0.13144756746484362
10,4,CLARA,0.16003337771962808
12,4,K-Means,0.1722369920928704
12,4,HC-Ward,0.1243660097953939
12,4,CLARA,0.14280120510220115
15,4,K-Means,0.17388645064520977
15,4,HC-Ward,0.11340690981514409
15,4,CLARA,0.14454656873419697
19,4,K-Means,0.16509908160207507
19,4,HC-Ward,0.12145337449727359
19,4,CLARA,0.14040620241193846
24,4,K-Means,0.17183416515088704
24,4,HC-Ward,0.11903885293928608
24,4,CLARA,0.1378081686522624
30,4,K-Means,0.16639301580794894
30,4,HC-Ward,0.10364996731235528
30,4,CLARA,0.12694807578066047
38,4,K-Means,0.16703583300873534
38,4,HC-Ward,0.11292994034416297
38,4,CLARA,0.12661033453872336
48,4,K-Means,0.16764700567213534
48,4,HC-Ward,0.11832867507621948
48,4,CLARA,0.12905664438921574
6,5,K-Means,0.19007473140259998
6,5,HC-Ward,0.14228711700800353
6,5,CLARA,0.1702262787873246
8,5,K-Means,0.18510081073408485
8,5,HC-Ward,0.13814700603514712
8,5,CLARA,0.15663358408363479
10,5,K-Means,0.18597393530638653
10,5,HC-Ward,0.1292265095987729
10,5,CLARA,0.1627019874116021
12,5,K-Means,0.17253314090216573
12,5,HC-Ward,0.11488005322314379
12,5,CLARA,0.14293710971289667
15,5,K-Means,0.1732530423356691
15,5,HC-Ward,0.1087898731293607
15,5,CLARA,0.14286193091578606
19,5,K-Means,0.16771684556242947
19,5,HC-Ward,0.10951868556329489
19,5,CLARA,0.13933351459734264
24,5,K-Means,0.17268358904261388
24,5,HC-Ward,0.11607936847940517
24,5,CLARA,0.13752829614711648
30,5,K-Means,0.1706101271923216
30,5,HC-Ward,0.11948353987921419
30,5,CLARA,0.12515924675092316
38,5,K-Means,0.16610470486614043
38,5,HC-Ward,0.11192472490301039
38,5,CLARA,0.12768541239395398
48,5,K-Means,0.16965835174235097
48,5,HC-Ward,0.11155391381574616
48,5,CLARA,0.13205351910889318
6,6,K-Means,0.19645623011539617
6,6,HC-Ward,0.1113480451748898
6,6,CLARA,0.17197080945384885
8,6,K-Means,0.1850664702009697
8,6,HC-Ward,0.12783058398594146
8,6,CLARA,0.1557806374726221
10,6,K-Means,0.18280233018605577
10,6,HC-Ward,0.12895798702712122
10,6,CLARA,0.16236400508435334
12,6,K-Means,0.1695777424374031
12,6,HC-Ward,0.12572078696863032
12,6,CLARA,0.14455647630466548
15,6,K-Means,0.16974813433449656
15,6,HC-Ward,0.11298487928505593
15,6,CLARA,0.14410825212716813
19,6,K-Means,0.16557747165805528
19,6,HC-Ward,0.11718898918705759
19,6,CLARA,0.13986451093674498
24,6,K-Means,0.1729617448107659
24,6,HC-Ward,0.11930902171471752
24,6,CLARA,0.1376552874956542
30,6,K-Means,0.16850012684253726
30,6,HC-Ward,0.12044035305088303
30,6,CLARA,0.12928112361285563
38,6,K-Means,0.1658536193636011
38,6,HC-Ward,0.12587635705412167
38,6,CLARA,0.12539685934192024
48,6,K-Means,0.1690679134031825
48,6,HC-Ward,0.12551753084585382
48,6,CLARA,0.12839729310717143
6,7,K-Means,0.19801115576545625
6,7,HC-Ward,0.13941439175317402
6,7,CLARA,0.17543412204814368
8,7,K-Means,0.18668231838951663
8,7,HC-Ward,0.1584141846614627
8,7,CLARA,0.15453776318372095
10,7,K-Means,0.18597393530638653
10,7,HC-Ward,0.1292265095987729
10,7,CLARA,0.1627019874116021
12,7,K-Means,0.16991005316955007
12,7,HC-Ward,0.11072037497964252
12,7,CLARA,0.14233848662221343
15,7,K-Means,0.17067989995679034
15,7,HC-Ward,0.1201036191898615
15,7,CLARA,0.1431072260245238
19,7,K-Means,0.16573465103454918
19,7,HC-Ward,0.11789686320756965
19,7,CLARA,0.14005501051102343
24,7,K-Means,0.17441883623521334
24,7,HC-Ward,0.12139925044407274
24,7,CLARA,0.13630946169652663
30,7,K-Means,0.16639301580794894
30,7,HC-Ward,0.10364996731235528
30,7,CLARA,0.12694807578066047
