k,Method,mean_sil,sd_sil,se_sil,ci_lower,ci_upper
3,CLARA,0.2697512517753335,0.0014288529543452,2.8577059086904e-4,0.26919114141723016,0.2703113621334368
3,HC-Ward,0.2628596655580705,0.010996787366103036,0.002199357473220607,0.2585489249105581,0.2671704062055829
3,K-Means,0.27511876443852185,0.0015371254369134562,3.0742508738269126e-4,0.2745162112672518,0.2757213176097919
4,CLARA,0.21510195578759295,0.0014517767653895394,2.903553530779079e-4,0.21453285929556024,0.21567105227962566
4,HC-Ward,0.2204080888979885,0.028496694613609007,0.005699338922721802,0.20923738460945376,0.23157879318652322
4,K-Means,0.2702182665480998,0.0025800891887193113,5.160178377438623e-4,0.2692068715861218,0.27122966151007777
5,CLARA,0.2237771004959062,0.002383890004339815,4.76778000867963e-4,0.22284261561420501,0.2247115853776074
5,HC-Ward,0.1923108611287657,0.0206613126912393,0.00413226253824786,0.18421162655379988,0.2004100957037315
5,K-Means,0.2397684596021389,0.0023365384989312795,4.673076997862559e-4,0.23885253651055785,0.24068438269371997
6,CLARA,0.2158434827794655,0.003403958893864331,6.807917787728662e-4,0.21450913089307067,0.21717783466586033
6,HC-Ward,0.1838621468386833,0.023104390942972654,0.004620878188594531,0.17480522558903802,0.19291906808832857
6,K-Means,0.24885843661345317,0.002680022381945621,5.360044763891242e-4,0.2478078678397305,0.24990900538717584
8,CLARA,0.20215219381555183,0.002255396536126766,4.510793072253532e-4,0.20126807837339014,0.20303630925771352
8,HC-Ward,0.18486287102734747,0.01825377225236827,0.003650754450473654,0.17770739230441912,0.19201834975027582
8,K-Means,0.258308863035035,0.0022745688658229934,4.549137731645987e-4,0.25741723203963235,0.2592004940304376
10,CLARA,0.18814422271736136,0.0016060318424042307,3.2120636848084614e-4,0.1875146582351389,0.18877378719958382
10,HC-Ward,0.17656936140500518,0.019006322552649862,0.0038012645105299724,0.16911888296436642,0.18401983984564393
10,K-Means,0.2249979752200785,0.0013020564379421045,2.604112875884209e-4,0.2244875690964052,0.2255083813437518
12,CLARA,0.1902496399568778,0.001436830169818025,2.87366033963605e-4,0.18968640253030913,0.19081287738344646
12,HC-Ward,0.16487472121648247,0.013667055454597558,0.0027334110909195118,0.15951723547828023,0.17023220695468472
12,K-Means,0.2256338872971277,0.0016184070993787172,3.236814198757434e-4,0.22499947171417123,0.22626830288008415
15,CLARA,0.16449850289896506,0.0015796381372005907,3.159276274401181e-4,0.16387928474918242,0.1651177210487477
15,HC-Ward,0.16688418796985308,0.007255969397925643,0.0014511938795851286,0.16403984796586624,0.16972852797383992
15,K-Means,0.22365154837136358,0.0014873221881649306,2.974644376329861e-4,0.22306851807360292,0.22423457866912425
19,CLARA,0.17076699833332598,0.0018136892828391927,3.6273785656783854e-4,0.17005603213445303,0.17147796453219893
19,HC-Ward,0.15989354527266403,0.005296183396120182,0.0010592366792240365,0.15781744138138493,0.16196964916394313
19,K-Means,0.2213070120349526,0.0015950822518792228,3.1901645037584457e-4,0.22068173979221595,0.22193228427768924
24,CLARA,0.16577054614871406,0.001993836225735476,3.987672451470952e-4,0.16498896234822574,0.16655212994920238
24,HC-Ward,0.15735340469813092,0.010287776689973048,0.0020575553379946097,0.1533205962356615,0.16138621316060034
24,K-Means,0.21861121408133566,7.894525476474435e-4,1.578905095294887e-4,0.21830174868265786,0.21892067948001345
30,CLARA,0.194349764478571,0.0015658838539464948,3.1317677078929895e-4,0.19373593800782396,0.19496359094931803
30,HC-Ward,0.16373431297964192,0.01035300034396789,0.002070600068793578,0.1596759368448065,0.16779268911447734
30,K-Means,0.21376393661527923,0.001449362683133115,2.89872536626623e-4,0.21319578644349105,0.21433208678706742
38,CLARA,0.17112625904189543,0.001634267673446199,3.268535346892398e-4,0.17048562611390453,0.17176689196988634
38,HC-Ward,0.16389799673603142,0.006727219086642114,0.0013454438173284228,0.1612609268540677,0.16653506661799514
38,K-Means,0.21257375378543375,0.001277906206001179,2.5558124120023584e-4,0.2120728145526813,0.2130746930181862
48,CLARA,0.17677855266592138,0.001631897063056974,3.2637941261139477e-4,0.17613884901720306,0.1774182563146397
48,HC-Ward,0.16348610772700456,0.005860822651152079,0.0011721645302304158,0.16118866524775294,0.16578355020625618
48,K-Means,0.21329699970463767,0.0015808729203928972,3.1617458407857946e-4,0.21267729751984366,0.21391670188943168
