k,Method,mean_sil,sd_sil,se_sil,ci_lower,ci_upper
6,CLARA,0.17262285482902767,0.0017200187323194636,3.440037464638927e-4,0.17194860748595844,0.1732971021720969
6,HC-Ward,0.13307506791974724,0.015104327885187337,0.0030208655770374675,0.12715417138875382,0.13899596445074067
6,K-Means,0.1948884632962323,0.002406814656840296,4.8136293136805916e-4,0.1939449919507509,0.1958319346417137
8,CLARA,0.1544233871205399,0.0016133972303999948,3.22679446079999e-4,0.1537909354062231,0.1550558388348567
8,HC-Ward,0.13739826613783532,0.009267459306443496,0.0018534918612886993,0.13376542208970946,0.14103111018596118
8,K-Means,0.18511272699950868,0.001052135028935062,2.1042700578701243e-4,0.18470029006816613,0.18552516393085122
10,CLARA,0.16119033955579337,0.0011683682021567414,2.3367364043134828e-4,0.16073233922054792,0.16164833989103883
10,HC-Ward,0.1228821399419703,0.013235037719613988,0.0026470075439227977,0.11769400515588162,0.12807027472805899
10,K-Means,0.18515901212489225,9.903864385655192e-4,1.9807728771310384e-4,0.18477078064097457,0.18554724360880992
12,CLARA,0.14294847486324233,0.0010071368617901898,2.0142737235803797e-4,0.14255367721342058,0.14334327251306409
12,HC-Ward,0.11609558786359082,0.008231830099794302,0.0016463660199588603,0.11286871046447146,0.11932246526271019
12,K-Means,0.17099642225113207,0.0016359834379516887,3.271966875903377e-4,0.170355116743455,0.17163772775880914
15,CLARA,0.1442642621707394,0.0011675603141387356,2.3351206282774714e-4,0.143806578527597,0.14472194581388179
15,HC-Ward,0.11538791224618034,0.005591484459186271,0.0011182968918372542,0.11319605033817931,0.11757977415418136
15,K-Means,0.1719308849199305,0.001808551045394577,3.617102090789154e-4,0.17122193291013582,0.17263983692972518
19,CLARA,0.1406351482914621,0.0020876980012962173,4.1753960025924344e-4,0.139816770674954,0.1414535259079702
19,HC-Ward,0.1149970822016496,0.004995896187733871,9.991792375467741e-4,0.11303869089605792,0.11695547350724128
19,K-Means,0.16679492201786203,0.0014736565281063157,2.947313056212631e-4,0.16621724865884435,0.1673725953768797
24,CLARA,0.13654996949513376,0.0010994887941644135,2.198977588328827e-4,0.13611896988782132,0.1369809691024462
24,HC-Ward,0.11615175551971002,0.003729354802018838,7.458709604037676e-4,0.11468984843731864,0.1176136626021014
24,K-Means,0.172215021423389,0.0011182337112220226,2.2364674224440454e-4,0.17177667380858996,0.172653369038188
30,CLARA,0.12865229704771078,0.0018079850558359784,3.615970111671957e-4,0.12794356690582306,0.1293610271895985
30,HC-Ward,0.11376125756618562,0.005781409143345388,0.0011562818286690777,0.11149494518199422,0.11602756995037701
30,K-Means,0.16899585261792036,0.0013873636483272478,2.7747272966544955e-4,0.16845200606777608,0.16953969916806463
38,CLARA,0.12688464655911014,0.0013928937680702475,2.785787536140495e-4,0.1263386322020266,0.12743066091619368
38,HC-Ward,0.11609016642085396,0.005988598705737142,0.0011977197411474285,0.11374263572820499,0.11843769711350292
38,K-Means,0.16663527208613613,9.712589166412552e-4,1.9425178332825105e-4,0.16625453859081277,0.1670160055814595
48,CLARA,0.12863083451831564,0.001367085568099685,2.73417113619937e-4,0.12809493697562058,0.1291667320610107
48,HC-Ward,0.11689220747673185,0.004120284458873817,8.240568917747633e-4,0.1152770559688533,0.11850735898461039
48,K-Means,0.16823084289577106,0.0011929765947617963,2.3859531895235926e-4,0.16776319607062443,0.1686984897209177
