cluster,med,lo,hi,n,module
2_1,3.010391263136993,2.7730546933642626,3.2477278329097232,2,Aerosolization
5_1,2.6884198220027105,2.6884198220027105,2.6884198220027105,1,Aerosolization
7,0.247879001923638,-0.09874330524905484,1.380211241711606,24,Aerosolization
4,-0.13020987314346408,-0.2443846993215664,-0.01603504696536175,2,Aerosolization
8,1.21573059825894,0.2007489865702182,2.2307122099476615,2,Enrichment
5_3,0.6989700043360189,0.1238877209273876,0.7075701760979364,3,Enrichment
2_1,0.6427470800971786,0.15678610386029465,0.744982887130989,7,Enrichment
1_2,0.6091364267857238,0.4623979978989561,0.7558748556724915,2,Enrichment
3,0.14852721348287612,0.03610477944889689,0.39856399939072534,26,Enrichment
5_2,0.0010782913121860985,-0.06382873997218592,0.06598532259655812,2,Enrichment
