molecule_id,cluster_e,cluster_a,aop_oh_half_life_hours,is_stable,source_type,reference_doi,remarks,timestamp,input_type,conc_bsw,conc_sml,conc_ssa,direct_factor_value,direct_factor_type
1312,3,7,1.224,TRUE,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18T15:31:56Z,Concentrations,15.39,17.56,6.04,NA,NA
1312,3,7,1.224,TRUE,Wetlab,https://doi.org/10.1021/acs.est.6b02988,NA,2025-12-18T16:38:23Z,Direct Factor,NA,NA,NA,2.8,Enrichment Factor (SML/BSW)
1312,3,7,1.224,TRUE,Wetlab,https://doi.org/10.1021/acs.est.6b02988,NA,2025-12-18T16:38:55Z,Direct Factor,NA,NA,NA,73,Aerosolization Factor (SSA/SML)
1396,3,7,1.224,TRUE,Wetlab,https://doi.org/10.1021/acs.est.6b02988,NA,2025-12-18T16:39:18Z,Direct Factor,NA,NA,NA,151,Aerosolization Factor (SSA/SML)
1396,3,7,1.224,TRUE,Wetlab,https://doi.org/10.1021/acs.est.6b02988,NA,2025-12-18T16:39:30Z,Direct Factor,NA,NA,NA,1.9,Enrichment Factor (SML/BSW)
4125,3,7,2.904,TRUE,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18T15:20:38Z,Concentrations,2.15,0.88,0.66,NA,NA
4775,3,7,3.036,TRUE,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18T15:28:59Z,Concentrations,1.65,4.19,1.33,NA,NA
5343,3,7,3.24,TRUE,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18T15:45:19Z,Concentrations,17.66,7.33,12.35,NA,NA
5708,2_1,7,9.468,TRUE,Field Sample,doi.org/10.1016/S0304-4203(01)00049-4,NA,2025-12-18T15:25:55Z,Concentrations,0.011,0.002,NA,NA,NA
5708,2_1,7,9.468,TRUE,Field Sample,doi.org/10.1016/S0304-4203(01)00049-4,NA,2025-12-18T15:26:09Z,Concentrations,0.029,0.172,NA,NA,NA
5708,2_1,7,9.468,TRUE,Field Sample,doi.org/10.1016/S0304-4203(01)00049-4,NA,2025-12-18T15:53:20Z,Concentrations,0.023,0.033,NA,NA,NA
5708,2_1,7,9.468,TRUE,Field Sample,doi.org/10.1016/S0304-4203(01)00049-4,NA,2025-12-18T15:53:48Z,Concentrations,0.034,0.189,NA,NA,NA
5873,3,7,3.648,TRUE,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18T15:46:17Z,Concentrations,5.56,13.67,11.67,NA,NA
5876,3,7,1.668,TRUE,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18T15:36:00Z,Concentrations,8.59,6.06,7.15,NA,NA
5994,3,7,1.7279999999999998,TRUE,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18T15:44:29Z,Concentrations,8.56,8.73,8.75,NA,NA
5994,3,7,1.7279999999999998,TRUE,Wetlab,https://doi.org/10.1021/acs.est.6b02988,NA,2025-12-18T16:43:23Z,Direct Factor,NA,NA,NA,104,Aerosolization Factor (SSA/SML)
5994,3,7,1.7279999999999998,TRUE,Wetlab,https://doi.org/10.1021/acs.est.6b02988,NA,2025-12-18T16:43:33Z,Direct Factor,NA,NA,NA,5,Enrichment Factor (SML/BSW)
6086,3,7,3.132,TRUE,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18T15:42:55Z,Concentrations,0.19,4.87,6.16,NA,NA
6179,3,7,3.144,TRUE,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18T15:43:42Z,Concentrations,12.87,4.77,3.7,NA,NA
6202,3,7,1.548,TRUE,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18T15:43:21Z,Concentrations,1.59,3.98,4.79,NA,NA
6323,3,7,3.012,TRUE,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18T15:33:19Z,Concentrations,0.19,1.73,0.63,NA,NA
6712,3,7,4.584,TRUE,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18T15:46:38Z,Concentrations,23.68,29.37,35.33,NA,NA
6738,3,7,1.7279999999999998,TRUE,Field Sample,doi.org/10.5194/acp-23-6571-2023,NA,2025-12-18T15:44:05Z,Concentrations,7.24,9.63,5.52,NA,NA
6738,3,7,1.7279999999999998,TRUE,Wetlab,https://doi.org/10.1021/acs.est.6b02988,NA,2025-12-18T16:41:23Z,Direct Factor,NA,NA,NA,82,Aerosolization Factor (SSA/SML)
