molecule_id,cluster_e,cluster_a,aop_oh_half_life_hours,is_stable
184637,3,7,1.62,TRUE
616465,3,7,0.636,TRUE
674506,5_3,4,0.552,TRUE
696857,3,7,2.184,TRUE
682722,3,7,3.252,TRUE
518615,3,7,2.592,TRUE
519442,3,7,1.476,TRUE
527695,3,7,2.436,TRUE
530038,3,7,0.8879999999999999,TRUE
532622,3,7,1.392,TRUE
689700,3,7,1.008,TRUE
680864,3,7,9.18,TRUE
233309,3,7,1.428,TRUE
286308,3,7,1.008,TRUE
519043,3,7,1.536,TRUE
535480,3,7,2.52,TRUE
122330,3,7,13.38,TRUE
524996,5_3,5_1,0.744,TRUE
536137,3,7,5.028,TRUE
584956,3,7,1.164,TRUE
537718,3,7,3.972,TRUE
537856,3,7,2.16,TRUE
537990,5_3,4,0.6960000000000001,TRUE
538285,3,7,1.512,TRUE
540537,5_3,5_1,0.624,TRUE
543029,3,7,1.392,TRUE
543137,3,7,4.4399999999999995,TRUE
543302,5_3,4,0.924,TRUE
543378,3,7,4.247999999999999,TRUE
543525,3,7,2.016,TRUE
544478,5_3,5_1,0.65,TRUE
546763,3,7,0.8879999999999999,TRUE
537102,3,7,2.628,TRUE
689821,3,7,1.956,TRUE
689994,5_3,4,0.528,TRUE
690113,3,7,1.548,TRUE
528216,3,7,3.684,TRUE
690242,3,7,2.34,TRUE
690297,3,7,1.1880000000000002,TRUE
690523,3,7,1.44,TRUE
690693,3,7,1.668,TRUE
559620,3,7,1.052,TRUE
690804,3,7,0.672,TRUE
691118,1_2,2_1,0.756,TRUE
548067,3,7,4.404,TRUE
691183,3,7,0.684,TRUE
691248,3,7,1.7759999999999998,TRUE
691426,3,7,0.636,TRUE
691773,3,7,1.596,TRUE
692063,3,7,6.276,TRUE
692167,3,7,3.168,TRUE
692302,3,7,0.948,TRUE
692493,3,7,4.644,TRUE
530100,3,7,1.512,TRUE
693352,3,7,0.948,TRUE
693821,3,7,5.208,TRUE
693410,3,7,2.232,TRUE
693436,3,7,0.72,TRUE
63763,3,7,1.932,TRUE
695727,3,7,0.612,TRUE
695787,3,7,2.736,TRUE
695796,3,7,0.915,TRUE
66696,2_1,7,2.268,TRUE
696067,3,7,3.168,TRUE
696117,3,7,2.976,TRUE
696146,5_2,2_1,0.612,TRUE
696153,3,7,2.496,TRUE
696168,3,7,4.104,TRUE
696189,3,7,2.281,TRUE
696234,3,7,3.9,TRUE
696239,5_3,4,1.044,TRUE
696241,3,7,3.468,TRUE
696349,5_2,5_1,0.513,TRUE
696410,3,7,0.708,TRUE
694349,3,7,0.636,TRUE
694358,3,7,5.747999999999999,TRUE
694403,3,7,1.2000000000000002,TRUE
694458,3,7,2.1239999999999997,TRUE
694469,5_2,5_1,0.51,TRUE
694482,1_2,2_1,0.96,TRUE
694498,3,7,1.308,TRUE
694713,3,7,1.2120000000000002,TRUE
694756,5_2,5_1,0.505,TRUE
694901,3,7,8.808,TRUE
694983,3,7,4.800000000000001,TRUE
695050,5_2,4,0.516,TRUE
695106,5_2,5_1,0.507,TRUE
695321,3,7,1.26,TRUE
695242,3,7,2.577,TRUE
695244,5_3,5_1,0.516,TRUE
695389,1_2,2_1,0.5640000000000001,TRUE
695438,5_3,4,0.528,TRUE
13063,3,7,1.596,TRUE
696924,3,7,90.6,TRUE
522922,3,7,7.848000000000001,TRUE
523710,3,7,1.968,TRUE
696417,3,7,3.804,TRUE
696474,3,7,1.596,TRUE
682833,3,7,3.06,TRUE
528784,3,7,0.636,TRUE
583581,3,7,1.164,TRUE
52486,2_1,7,4.247999999999999,TRUE
86805,3,7,9.612,TRUE
18735,3,7,5.285,TRUE
264718,3,7,0.979,TRUE
265221,3,7,14.64,TRUE
604903,3,7,1.116,TRUE
266054,3,7,2.712,TRUE
13013,3,7,4.008,TRUE
20213,3,7,6.1080000000000005,TRUE
618391,3,7,0.648,TRUE
557477,3,7,38.483999999999995,TRUE
696729,3,7,1.392,TRUE
567719,3,7,1.104,TRUE
526592,1_2,2_1,0.636,TRUE
526593,1_2,2_1,0.636,TRUE
648718,3,7,0.8759999999999999,TRUE
650182,5_3,4,0.528,TRUE
650397,1_2,2_1,0.924,TRUE
651121,3,7,1.332,TRUE
657581,5_2,5_1,0.528,TRUE
696904,3,7,2.04,TRUE
599162,3,7,1.536,TRUE
600150,3,7,0.8759999999999999,TRUE
602121,3,7,0.636,TRUE
616718,5_2,4,0.8160000000000001,TRUE
618196,8,7,1.14,TRUE
619943,3,7,2.256,TRUE
620915,3,7,1.236,TRUE
620964,3,7,2.7960000000000003,TRUE
628964,3,7,0.78,TRUE
629466,3,7,1.32,TRUE
497767,3,7,1.332,TRUE
636972,1_2,2_1,1.032,TRUE
637516,3,7,1.128,TRUE
638885,3,7,6.84,TRUE
639086,3,7,3.012,TRUE
640125,1_2,2_1,0.72,TRUE
640508,3,7,1.2120000000000002,TRUE
640710,3,7,2.868,TRUE
640850,3,7,1.032,TRUE
640885,3,7,7.704000000000001,TRUE
283891,3,7,1.452,TRUE
284857,1_2,2_1,0.874,TRUE
286581,3,7,0.72,TRUE
288240,1_2,4,0.551,TRUE
288338,3,7,4.332,TRUE
288361,3,7,1.332,TRUE
290321,3,7,1.404,TRUE
291426,3,7,1.374,TRUE
698880,3,7,1.14,TRUE
127439,3,7,1.164,TRUE
127490,3,7,2.3040000000000003,TRUE
127495,3,7,2.3040000000000003,TRUE
303062,5_3,5_1,0.516,TRUE
306180,5_3,5_1,0.516,TRUE
307475,3,7,0.8280000000000001,TRUE
308389,5_3,5_1,0.552,TRUE
309142,3,7,4.6080000000000005,TRUE
309875,3,7,3.5519999999999996,TRUE
309972,3,7,0.78,TRUE
310378,3,7,1.128,TRUE
310817,5_3,5_1,0.684,TRUE
311459,5_3,5_1,0.504,TRUE
165621,3,7,1.152,TRUE
696945,3,7,2.0759999999999996,TRUE
697167,3,7,0.516,TRUE
697009,1_2,2_1,0.5640000000000001,TRUE
696884,3,7,2.436,TRUE
697101,1_2,2_1,0.528,TRUE
697191,5_3,5_1,0.528,TRUE
697198,3,7,0.996,TRUE
697215,3,7,1.632,TRUE
697288,8,7,5.496,TRUE
697297,3,7,1.056,TRUE
