cluster,n_total,n_oh_stable,pct_oh_stable,n_oz_stable,pct_oz_stable,median_oh_hl,median_oz_hl
1,11442,10435,91.31081554077703,6340,89.40911013961359,1.0470000000000002,3.72
2_1,1856,543,29.28802588996764,823,61.18959107806692,0.384,0.672
2_2,2534,896,35.56967050416832,1407,89.0506329113924,0.43199999999999994,3.72
2_3,2765,1154,42.22466154409074,996,65.26867627785059,0.456,0.8400000000000001
3,15776,12468,79.07655229276337,9008,77.81617138908086,0.744,1.3895
4,4845,2836,58.82596971582659,2608,92.41672572643516,0.5760000000000001,2.616
5_1,1827,386,21.396895787139687,1266,95.11645379413974,0.396,3.72
5_2,1077,248,23.220973782771537,288,71.46401985111662,0.384,3.192
5_3,941,182,19.361702127659576,692,95.84487534626038,0.36,3.72
6,8767,6173,70.44391190231656,5468,77.70356686087821,0.711,1.536
7,4350,4231,97.75878003696857,1799,94.38614900314796,2.004,4.366958333333333
8,9032,6123,67.88248337028826,5070,80.39961941008563,0.624,2.112
9,5716,4312,75.55633432626598,3297,71.47192716236722,0.8639999999999999,1.058
10_1,486,277,56.99588477366255,187,59.36507936507937,0.5760000000000001,0.7050166666666667
10_2,463,269,58.09935205183585,235,70.35928143712576,0.68,0.6948833333333333
10_3,776,417,53.73711340206185,280,62.08425720620843,0.535,0.7052333333333334
10_4,254,109,42.91338582677165,125,60.97560975609756,0.42994166666666667,1.0240166666666668
10_5,759,221,29.117259552042164,363,58.17307692307693,0.228,0.5437
